R,c (mol/m^3) @ t=0,c (mol/m^3) @ t=50000,c (mol/m^3) @ t=1E5,c (mol/m^3) @ t=1.5E5,c (mol/m^3) @ t=2E5,c (mol/m^3) @ t=2.5E5,c (mol/m^3) @ t=3E5,c (mol/m^3) @ t=3.5E5,c (mol/m^3) @ t=4E5,c (mol/m^3) @ t=4.5E5,c (mol/m^3) @ t=5E5,c (mol/m^3) @ t=5.5E5,c (mol/m^3) @ t=6E5,c (mol/m^3) @ t=6.5E5,c (mol/m^3) @ t=7E5,c (mol/m^3) @ t=7.5E5,c (mol/m^3) @ t=8E5,c (mol/m^3) @ t=8.5E5,c (mol/m^3) @ t=9E5,c (mol/m^3) @ t=9.5E5,c (mol/m^3) @ t=1E6
0,0,2.1909139542608705E-282,6.2615112183703496E-198,6.587409183808599E-192,1.840742375168613E-138,1.8751868803234727E-135,6.8726429453505E-133,7.217305530757566E-98,9.466595957989561E-97,5.036842529365857E-95,2.093210109628333E-93,4.4483463513464696E-92,2.573765399468768E-91,6.11966795118715E-90,1.0522121290079232E-77,4.087489040797191E-77,1.2988823947765618E-75,4.4631086396005675E-75,7.235496055865242E-74,2.4042414603682015E-73,2.69913320011395E-72
0.0031446540880503146,0,2.928434177945877E-281,2.967104765195342E-197,3.0739186664421344E-191,4.4839768335848816E-138,4.5443593627289764E-135,1.6530959885063552E-132,1.1779558860975377E-97,1.5423033344434257E-96,8.187757388168242E-95,3.389334543515248E-93,7.176609097860046E-92,4.150402582274624E-91,9.830128030992501E-90,1.4802300825642541E-77,5.750194351060796E-77,1.8203765805270728E-75,6.254169229173045E-75,1.010285135887539E-73,3.356161698883944E-73,3.754934296612514E-72
0.006289308176100629,0,1.3460081841054684E-279,3.938289969639354E-196,4.0014459109111203E-190,2.448926234086644E-137,2.4633710660868912E-134,8.863949711733589E-132,3.438266960720406E-97,4.487800159615719E-96,2.3732376563868735E-94,9.757148176713368E-93,2.0529108893532669E-91,1.1862911424491904E-90,2.790639595026682E-89,3.2973662421893253E-77,1.2809155118888587E-76,4.025656247519495E-75,1.38270584992839E-74,2.218112199875783E-73,7.364886906640166E-73,8.18524341164756E-72
0.009433962264150945,0,7.240417426097959E-278,6.174602358451469E-195,6.1533502832519254E-189,1.601864961345019E-136,1.599419919555261E-133,5.693689417554317E-131,1.2127602725990114E-96,1.5780469957553812E-95,8.312386088442386E-94,3.394080622711389E-92,7.095699620645586E-91,4.096964444789852E-90,9.571885329789313E-89,8.844201747427165E-77,3.435673921689834E-76,1.0716082378550999E-74,3.679664548810168E-74,5.860226359570872E-73,1.9447770787426826E-72,2.1464292260365264E-71
0.012578616352201259,0,4.142775408430678E-276,1.031314922353255E-193,1.0079738346722335E-187,1.1194246457547988E-135,1.1094499122544108E-132,3.9072495400125835E-130,4.594452680023189E-96,5.959949787096208E-95,3.12716442139382E-93,1.2681757091376275E-91,2.63448755727894E-90,1.5198782545324845E-89,3.526834467817052E-88,2.5577369226969043E-76,9.935944808592441E-76,3.075857929158767E-74,1.0558871581367246E-73,1.6695573319105425E-72,5.5377038430653E-72,6.069918510950489E-71
0.015723270440251572,0,2.450724212996842E-274,1.7818907126254052E-192,1.7078301400170813E-186,8.099469299268175E-135,7.967592142547833E-132,2.7758953165331425E-129,1.8051123409634177E-95,2.334417958576516E-94,1.2200548363239575E-92,4.913977499438813E-91,1.0143511306910895E-89,5.847141184761833E-89,1.3475788574334643E-87,7.683248615796722E-76,2.984682807671892E-75,9.17040367534483E-74,3.147152583912665E-73,4.940615829149722E-72,1.6378752565351033E-71,1.7829675846412675E-70
0.01886792452830189,0,1.4803944012747822E-272,3.1445567719321396E-191,2.955121868779042E-185,5.98797966633166E-134,5.846376918945623E-131,2.014889229569924E-128,7.251685077519335E-95,9.349256204933325E-94,4.866940564625545E-92,1.9467925866048618E-90,3.993010478584956E-89,2.2998220695215048E-88,5.264101247727911E-87,2.3613900200400805E-75,9.17320335115315E-75,2.7972414618261227E-73,9.597009183427539E-73,1.4957750057588582E-71,4.956038706647172E-71,5.357919368612943E-70
0.022012578616352203,0,9.071739986170801E-271,5.630251162925474E-190,5.187294310548588E-184,4.492502670162316E-133,4.353190800919633E-130,1.4840018395820881E-127,2.957469718253823E-94,3.8011865720520125E-93,1.9708806606053666E-91,7.829169210808057E-90,1.5955359306797485E-88,9.181939193378034E-88,2.0872090138549936E-86,7.36997971878796E-75,2.8629884127786785E-74,8.664171997441075E-73,2.9717200128829755E-72,4.598196289448318E-71,1.5227250668121597E-70,1.6348048834160523E-69
0.025157232704402517,0,5.6175044555418845E-269,1.018761035305411E-188,9.200811587164924E-183,3.406671682227653E-132,3.2759599716847643E-129,1.1045888813132448E-126,1.2193756452001283E-93,1.5624051365123073E-92,8.068262092526278E-91,3.18278714134362E-89,6.444540361348228E-88,3.7055194523139334E-87,8.364942071785523E-86,2.3258035096948685E-74,9.03496176749909E-74,2.713374425449447E-72,9.303868494845266E-72,1.4291316935946698E-70,4.7300799572541006E-70,5.042868762265917E-69
0.02830188679245283,0,3.5063089893027684E-267,1.8582106206560293E-187,1.6448712524606168E-181,2.6042856063425267E-131,2.4851999703892805E-128,8.287642869012789E-126,5.069233847033244E-93,6.475181933435625E-92,3.3301666541697274E-90,1.304504342774847E-88,2.6242541790470133E-87,1.5076047658876477E-86,3.379586830955458E-85,7.401373310057823E-74,2.875183763569229E-73,8.568424404274627E-72,2.9371483138582884E-71,4.478598822604301E-70,1.4814846452268593E-69,1.568381408811491E-68
