r,"C(r, t=0.0)","C(r, t=50000.0)","C(r, t=100000.0)","C(r, t=150000.0)","C(r, t=200000.0)","C(r, t=250000.0)","C(r, t=300000.0)","C(r, t=350000.0)","C(r, t=400000.0)","C(r, t=450000.0)","C(r, t=500000.0)","C(r, t=550000.0)","C(r, t=600000.0)","C(r, t=650000.0)","C(r, t=700000.0)","C(r, t=750000.0)","C(r, t=800000.0)","C(r, t=850000.0)","C(r, t=900000.0)","C(r, t=950000.0)","C(r, t=1000000.0)"
0.0,0.0,-3.857130558709346e-36,-6.833740681718484e-35,-6.390041661642989e-34,-4.193087729956162e-33,-2.1667793540693174e-32,-9.384015333221356e-32,-3.5406788270079527e-31,-1.1948705585496792e-30,-3.6752922656841845e-30,-1.045065667838172e-29,-2.777333661526061e-29,-6.958473174345022e-29,-1.655202338529654e-28,-3.7596653775564274e-28,-8.194130122841697e-28,-1.720605768886333e-27,-3.4929704642072826e-27,-6.876132883028105e-27,-1.3160091555098016e-26,-2.454294462763071e-26
0.02631578947368421,0.0,1.1468304012634962e-37,2.1499272629068147e-36,2.1212749229637804e-35,1.4651106007368506e-34,7.950798269663038e-34,3.608680409340518e-33,1.424263977035329e-32,5.01899492456327e-32,1.6094838969504664e-31,4.7642728922158625e-31,1.3162719296115708e-30,3.424081643909752e-30,8.446553141686995e-30,1.9874466449851733e-29,4.482468624615846e-29,9.730653219494674e-29,2.0403525017630983e-28,4.145059999157457e-28,8.180305605021814e-28,1.5719132740478504e-27
0.05263157894736842,0.0,1.2030123836633436e-35,2.136119295031818e-34,2.0018634954114482e-33,1.3165307430163228e-32,6.818369992994473e-32,2.9595518163400274e-31,1.119174207183799e-30,3.785371472631569e-30,1.166967035583274e-29,3.3257679192031504e-29,8.858509756422811e-29,2.224505218059897e-28,5.303469141256442e-28,1.2073974790663351e-27,2.637537781837143e-27,5.551043435438786e-27,1.1295052393327087e-26,2.22864226487473e-26,4.275239690730277e-26,7.991648697908353e-26
0.07894736842105263,0.0,1.3524236942869215e-33,2.2681157059096543e-32,2.013788343982284e-31,1.2582150335888167e-30,6.206348643711121e-30,2.571575895387958e-29,9.302233928516461e-29,3.0153388645229155e-28,8.924400356432535e-28,2.4456865823599966e-27,6.273371367095629e-27,1.5191530025362826e-26,3.497118371824838e-26,7.696612119649819e-26,1.6271591470591475e-25,3.31772411592757e-25,6.546552547420395e-25,1.2537838152917822e-24,2.3365584170408054e-24,4.246598950778458e-24
0.10526315789473684,0.0,1.6289878859432497e-31,2.5713692448411883e-30,2.1563175971035748e-29,1.2764272924605738e-28,5.981698831426577e-28,2.3605985386913833e-27,8.151368462240593e-27,2.5275412894312786e-26,7.169385739566341e-26,1.8862500568809107e-25,4.652545256683299e-25,1.0849890281597511e-24,2.408600027928853e-24,5.1184555185279956e-24,1.046095195667476e-23,2.0642688509840543e-23,3.946169816147281e-23,7.329044704740927e-23,1.325751393019123e-22,2.3407953045275705e-22
0.13157894736842105,0.0,2.0347809531875314e-29,3.011353664243297e-28,2.3768814295628452e-27,1.3289048206550843e-26,5.900217326909846e-26,2.2121580287448156e-25,7.275491891915024e-25,2.1535452799651924e-24,5.843324664044071e-24,1.4734031117355156e-23,3.4890885098480965e-23,7.824226154173527e-23,1.672701722037354e-22,3.4278897456691096e-22,6.764686755310962e-22,1.290470857585671e-21,2.3875153127909387e-21,4.295943398148036e-21,7.535959505827439e-21,1.2915295486340607e-20
0.15789473684210525,0.0,2.5994262083975928e-27,3.5907765033940265e-26,2.6572695665447694e-25,1.3983743415106095e-24,5.8641437888827184e-24,2.0830633315306105e-23,6.508835795196635e-23,1.835003467689994e-22,4.753034236307135e-22,1.1464602094664068e-21,2.6019432529664792e-21,5.601837433079869e-21,1.1516128796283217e-20,2.2727773007665038e-20,4.325298754824303e-20,7.96726944371307e-20,1.4250078787079748e-19,2.481546783406032e-19,4.217427702832452e-19,7.009436990234595e-19
0.18421052631578946,0.0,3.3718480368665435e-25,4.3254253771241555e-24,2.987773747356021e-23,1.474150821050672e-22,5.818747091060642e-22,1.9522675369576953e-21,5.7795614362701746e-21,1.5480611252489227e-20,3.819171266736837e-20,8.794077757166033e-20,1.9092408777527696e-19,3.9395532666942775e-19,7.775555643329936e-19,1.4756586554251893e-18,2.704533711881531e-18,4.804292482738736e-18,8.297272993298535e-18,1.3968690770337367e-17,2.297624512349362e-17,3.699688047261331e-17
0.21052631578947367,0.0,4.4223939675280296e-23,5.237168689805565e-22,3.359475247373352e-21,1.547189075395806e-20,5.725896038648486e-20,1.8082808108083754e-19,5.056378975907225e-19,1.283198339490574e-18,3.0077431325694344e-18,6.596524872353778e-18,1.3671781398774975e-17,2.6986672574430352e-17,5.104977111640619e-17,9.301718416003866e-17,1.6393824833393112e-16,2.8046013388885623e-16,4.671187543545163e-16,7.593682358330833e-16,1.2075289692361958e-15,1.8818650501731503e-15
0.23684210526315788,0.0,5.8489940795159116e-21,6.350084621725665e-20,3.7604547643197874e-19,1.6083332144547052e-18,5.555991819866081e-18,1.6451455680688986e-17,4.3301057184180076e-17,1.0379555889882068e-16,2.305125817024031e-16,4.803336633244145e-16,9.482312646153017e-16,1.7868417111979986e-15,3.2335283183176084e-15,5.6469540498890704e-15,9.55552404327051e-15,1.5720424032630333e-14,2.5216369804508614e-14,3.953359385700007e-14,6.070502682790297e-14,9.146308132791791e-14
0.2631578947368421,0.0,7.7866884607643e-19,7.686272054716473e-18,4.1729745632180266e-17,1.6476970573852625e-16,5.286116190186472e-16,1.4610835563282955e-15,3.605784076807585e-15,8.135994582157448e-15,1.7067224927851054e-14,3.369694808785988e-14,6.320423277182174e-14,1.1344615995066084e-13,1.9599207218026818e-13,3.2744081914513236e-13,5.310701982515531e-13,8.388717179816444e-13,1.2940276097739006e-12,1.953890660014409e-12,2.893530908589132e-12,4.209916548152378e-12
