r,"C(r, t=50000.0)","C(r, t=100000.0)","C(r, t=150000.0)","C(r, t=200000.0)","C(r, t=250000.0)","C(r, t=300000.0)","C(r, t=350000.0)","C(r, t=400000.0)","C(r, t=450000.0)","C(r, t=500000.0)","C(r, t=550000.0)","C(r, t=600000.0)","C(r, t=650000.0)","C(r, t=700000.0)","C(r, t=750000.0)","C(r, t=800000.0)","C(r, t=850000.0)","C(r, t=900000.0)","C(r, t=950000.0)","C(r, t=1000000.0)"
0.0,0.0,-2.2642569394027206e-76,-1.420577469347187e-74,-4.5130801028473777e-73,-9.678626202187181e-72,-1.5760347834109782e-70,-2.0781919557994797e-69,-2.31116501823877e-68,-2.2292880027347863e-67,-1.9036068954153387e-66,-1.461624183781476e-65,-1.0215732529436892e-64,-6.564130309477637e-64,-3.909284860524723e-63,-2.172657979968565e-62,-1.1333714660376076e-61,-5.576958355275928e-61,-2.5997848205742464e-60,-1.152466636525456e-59,-4.874296322203363e-59
0.006329113924050633,0.0,2.2568438167870922e-76,1.4609805099886895e-74,4.789963836038703e-73,1.0603171911346893e-71,1.7825488416811108e-70,2.4272430005982495e-69,2.788155334915909e-68,2.778596277842799e-67,2.45207314247235e-66,1.946352784328137e-65,1.4067842612843144e-64,9.351040569752274e-64,5.763259207334525e-63,3.3160796074665766e-62,1.791658680647437e-61,9.135435694860659e-61,4.4150046608288257e-60,2.0300726829979078e-59,8.911026412895479e-59
0.012658227848101266,0.0,1.5820146085356531e-75,1.0105654447996319e-73,3.2699095652696946e-72,7.144856625194911e-71,1.1858299716957377e-69,1.5943547869791436e-68,1.8086116394379946e-67,1.7802249119575555e-66,1.5519113256135418e-65,1.2170283688656976e-64,8.691856803968325e-64,5.709655320744201e-63,3.478089141091227e-62,1.9782292369772e-61,1.0566749120702572e-60,5.327261784527042e-60,2.545937310503804e-59,1.1577690641567999e-58,5.0266994618192e-58
0.0189873417721519,0.0,1.2537335010039084e-74,7.906091974996035e-73,2.5258554591415704e-71,5.450200323062692e-70,8.934221019649763e-69,1.1865936577076357e-67,1.3298755818423034e-66,1.2934615035809687e-65,1.1143491602536894e-64,8.637582582222473e-64,6.098193129553561e-63,3.960538477416032e-62,2.3856027232543356e-61,1.341847547629651e-60,7.08911415263765e-60,3.5353491911203868e-59,1.6714994671206676e-58,7.520768022262264e-58,3.2311363034379025e-57
0.02531645569620253,0.0,1.0647405568761462e-73,6.627276531859873e-72,2.0902156874874396e-70,4.453252277931271e-69,7.208996282191662e-68,9.456767870832871e-67,1.046988639208094e-65,1.0060991104851755e-64,8.56503907195356e-64,6.561212136431705e-63,4.578660227731153e-62,2.9396595093943438e-61,1.7506740696371998e-60,9.73715923838248e-60,5.087439569757008e-59,2.5094172292243117e-58,1.1736374552722543e-57,5.224320707991088e-57,2.22082579007067e-56
0.03164556962025317,0.0,9.379283047527948e-73,5.761336598382892e-71,1.7935698678415666e-69,3.772405086736432e-68,6.029795337015036e-67,7.811390863039687e-66,8.541907696298879e-65,8.108651997730043e-64,6.820219618505052e-63,5.162722463875132e-62,3.5605893247674936e-61,2.25959657984482e-60,1.3303007507438055e-59,7.315539744933696e-59,3.779553857487426e-58,1.8437315051148458e-57,8.528986557496255e-57,3.7556570992940483e-56,1.5794870278913603e-55
0.0379746835443038,0.0,8.45070887492096e-72,5.1219258310468804e-70,1.5735975678789662e-68,3.2668998567993775e-67,5.155099323321107e-66,6.594058195548979e-65,7.120990385491008e-64,6.67674446209039e-63,5.547697886624258e-62,4.149136747826648e-61,2.827678374687626e-60,1.7735005388704217e-59,1.0320583166754058e-58,5.610674385378205e-58,2.8660415289726147e-57,1.382517157313321e-56,6.324957370945726e-56,2.7547907818259147e-55,1.1460809341814665e-54
0.04430379746835443,0.0,7.73154039920765e-71,4.622898528680432e-69,1.4014057400277417e-67,2.8712699862936016e-66,4.472188213895314e-65,5.647490759939654e-64,6.021932668313076e-63,5.576018696634357e-62,4.576207805138051e-61,3.3810530419902994e-60,2.276626424819357e-59,1.4109944031892503e-58,8.115094719682456e-58,4.3607536543508424e-57,2.2021477431291216e-56,1.0502942741471017e-55,4.75151688252354e-55,2.0466989050636278e-54,8.422218993032262e-54
0.05063291139240506,0.0,7.152346077516514e-70,4.2181722419704955e-68,1.261491968416552e-66,2.5502706995228585e-65,3.920151723225968e-64,4.886363455270484e-63,5.143852527719606e-62,4.7029708143298036e-61,3.811715908982177e-60,2.781653577167123e-59,1.850320593559455e-58,1.1330548306981405e-57,6.439533108448693e-57,3.419957622474004e-56,1.707126875125971e-55,8.049166676799024e-55,3.600408944909031e-54,1.5335957761325332e-53,6.241333239757009e-53
0.056962025316455694,0.0,6.672244985033892e-69,3.880539772780709e-67,1.1446750234912964e-65,2.2829538190743442e-64,3.462644464856862e-63,4.259551993120407e-62,4.426054191447455e-61,3.995080664693119e-60,3.1972159201783674e-59,2.3042202180439405e-58,1.5139342564579233e-57,9.158365722778201e-57,5.142742513392453e-56,2.6989773734292453e-55,1.3315139419500378e-54,6.20574717936354e-54,2.744218435134279e-53,1.15574105627936e-52,4.651227768073576e-52
0.06329113924050633,0.0,6.265384729763834e-68,3.592748041179363e-66,1.045113940016352e-64,2.055942402915985e-63,3.0763616868977038e-62,3.734136537316849e-61,3.8292945648307324e-60,3.411774824787674e-59,2.6955945732433637e-58,1.9182603958663092e-57,1.2446949847416415e-56,7.43731021873745e-56,4.125747681439237e-55,2.1393580159839796e-54,1.0429682988307334e-53,4.804231910999659e-53,2.099978973634357e-52,8.74346731996439e-52,3.479179145007881e-51
0.06962025316455696,0.0,5.9145051821976004e-67,3.3432457496267544e-65,9.58885011114814e-64,1.860215182829124e-62,2.7455199934845618e-61,3.287726859653976e-60,3.3267777273022436e-59,2.9252561200629393e-58,2.28135919326408e-57,1.6027925186910433e-56,1.026919876334844e-55,6.059891069151801e-55,3.32044722216885e-54,1.700945552648848e-53,8.193274412982936e-53,3.729534936659194e-52,1.6112145195940975e-51,6.631194331523019e-51,2.6086453917253583e-50
0.0759493670886076,0.0,5.607580246896662e-66,3.1239614766154935e-64,8.832371174252804e-63,1.689421107659991e-61,2.4589593400629533e-60,2.904424894242065e-59,2.8994076967198073e-58,2.5156585190326342e-57,1.9362563596112572e-56,1.3427803500578798e-55,8.493718384502471e-55,4.949177378088399e-54,2.678200993762606e-53,1.3551430121587526e-52,6.4486444657197236e-52,2.900335934514858e-51,1.2382108589256004e-50,5.036676387595432e-50,1.958575789675222e-49
0.08227848101265822,0.0,5.335936634001453e-65,2.9290572016619776e-63,8.161733272084238e-62,1.538930781443613e-60,2.2085091102960827e-59,2.5725438572756394e-58,2.5331006607671065e-57,2.168297288628553e-56,1.6467786839570924e-55,1.1270982108349368e-54,7.037463998042423e-54,4.048443598501382e-53,2.163258000398218e-52,1.0810154326434184e-51,5.081203797689717e-51,2.257698982884285e-50,9.523540350476488e-50,3.828238010589986e-49,1.4713290773294788e-48
0.08860759493670886,0.0,5.09313849551074e-64,2.7541882079805913e-62,7.562020817624166e-61,1.4052714112018912e-59,1.98801297254428e-58,2.2832441413114574e-57,2.2171737546660993e-56,1.8720162605959594e-55,1.4026620520758573e-54,9.47300822430355e-54,5.837540451807774e-53,3.314870546332863e-52,1.7487463394236802e-51,8.629066257998717e-51,4.005747086556068e-50,1.7580766737765137e-49,7.32644438873041e-49,2.909935791868067e-48,1.1052206104655666e-47
0.09493670886075949,0.0,4.874294701159866e-63,2.5960427554615197e-61,7.021821917472305e-60,1.2857741832053823e-58,1.7927191514476066e-57,2.0296784996189832e-56,1.9433328681061483e-55,1.6181466672702802e-54,1.1959360761040147e-53,7.968435445010249e-53,4.8453667546691165e-52,2.7155275476861995e-51,1.414108087639303e-50,6.889109005494457e-50,3.157909595153395e-49,1.368808032292148e-48,5.634514192610737e-48,2.210921716504557e-47,8.297214544271264e-47
0.10126582278481013,0.0,4.6756116056825406e-62,2.4520444504624566e-60,6.532224563942425e-59,1.1783454947769098e-57,1.6188840606077007e-56,1.806435064603667e-55,1.7050113695590075e-54,1.3998249249845233e-53,1.0202999300835287e-52,6.705681415912742e-52,4.02281551206574e-51,2.2247064942905063e-50,1.1433929431838019e-49,5.498543585542503e-49,2.4884642276313962e-48,1.0651109744798979e-47,4.3301317484033724e-47,1.6783413697344974e-46,6.222571130140228e-46
0.10759493670886076,0.0,4.494094666152576e-61,2.3201533811405917e-59,6.086144836687475e-58,1.0813135707584665e-56,1.4635059897338752e-55,1.6091622065391545e-54,1.4969234682370662e-53,1.2115304124108238e-52,8.706980624363033e-52,5.643520692512955e-51,3.3395718254529393e-50,1.8220930983137496e-49,9.240852272631626e-49,4.3859358950793735e-48,1.9593926973655767e-47,8.280105355337119e-47,3.324042822573819e-46,1.2724539486156636e-45,4.660129277547049e-45
0.11392405063291139,0.0,4.3273436711710644e-60,2.1987294402494485e-58,5.677864420632975e-57,9.933226723639658e-56,1.3241410234774206e-54,1.434308561555947e-53,1.3147537762031126e-52,1.048763149780479e-51,7.430233248079621e-51,4.748622797333212e-50,2.7712739055133665e-49,1.491476419349058e-48,7.462748228792612e-48,3.4951961734271083e-47,1.5411068544955415e-46,6.428750568995895e-46,2.5480754391541742e-45,9.631997205047814e-45,3.48395620105788e-44
0.12025316455696203,0.0,4.173408726216559e-59,2.0864360571202833e-57,5.3027043125824285e-56,9.13258315037449e-55,1.1987726222396659e-53,1.2789383474368186e-52,1.1549360846152296e-51,9.07813326406841e-51,6.339039698303098e-50,3.993780216152494e-49,2.298171256265683e-48,1.219815866627916e-47,6.020571950894888e-47,2.781989157059121e-46,1.2104398022835429e-45,4.9835995100644865e-45,1.9499006398646545e-44,7.277392061831372e-44,2.5993517333984158e-43
0.12658227848101267,0.0,4.030686768088602e-58,1.982170917993001e-56,4.9567896037278116e-55,8.401932532975387e-54,1.0857171984326542e-52,1.1405972730653803e-51,1.0144922183757953e-50,7.855928310561423e-50,5.405474212356622e-49,3.356604829292516e-48,1.904135359165886e-47,9.965524075672796e-47,4.850903430020022e-46,2.2110854322177616e-45,9.491665289217839e-45,3.856321274244873e-44,1.48920001698999e-43,5.486613919555981e-43,1.9348950491737243e-42
0.13291139240506328,0.0,3.8978457757318756e-57,1.8850151515510224e-55,4.636876657645513e-54,7.733477136895884e-53,9.835544296647965e-52,1.0172132828802304e-50,8.909123479315016e-50,6.795096778095478e-49,4.6062343529525793e-48,2.818550383237311e-47,1.575916480778525e-46,8.130907938074586e-46,3.9026193236661976e-45,1.7543748888421523e-44,7.428974870459518e-44,2.9779216867394766e-43,1.1348239443476937e-42,4.1266245064736906e-42,1.436616126774413e-41
